,job_title,company,location,salary,posted,date
322,Data Scientist,"Metron, Inc.",,,30,2020-04-20
324,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
325,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",28,2020-04-20
326,Data Scientist,Seen by Indeed,,,24,2020-04-20
327,Data Scientist - 64922BR,AETNA,"San Francisco, CA",,13,2020-04-20
328,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
329,Data Scientist,Primesys Technologies,"Plainfield, NJ",,30,2020-04-20
330,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,,17,2020-04-20
331,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30,2020-04-20
332,Data Scientist,Auth0,Remote,,3,2020-04-20
333,Internship Opportunities for Students: Data & Applied Scienc...,Microsoft,"Redmond, WA",,30,2020-04-20
334,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
335,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30,2020-04-20
336,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
337,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
